Date & Time,Inside Temp - °C,Inside Hum - %,Temp - °C,Hum - %
1/1/22 0:00,35,31,34,38
1/1/22 0:10,34,32,34,39
1/1/22 0:20,34,32,34,39
1/1/22 0:30,34,32,34,40
1/1/22 0:40,34,33,33,41
1/1/22 0:50,34,33,33,41
1/1/22 1:00,34,33,32,42
1/1/22 1:10,34,32,32,42
1/1/22 1:20,34,32,32,43
1/1/22 1:30,34,32,32,43
1/1/22 1:40,34,32,31,43
1/1/22 1:50,34,32,31,43
1/1/22 2:00,34,32,31,44
1/1/22 2:10,34,32,31,44
1/1/22 2:20,34,32,30,45
1/1/22 2:30,34,32,30,45
1/1/22 2:40,34,32,30,45
1/1/22 2:50,34,33,30,46
1/1/22 3:00,33,33,30,47
1/1/22 3:10,33,33,29,48
1/1/22 3:20,33,33,29,50
1/1/22 3:30,33,34,29,51
1/1/22 3:40,33,35,29,53
1/1/22 3:50,33,35,29,55
1/1/22 4:00,33,36,29,56
1/1/22 4:10,33,37,28,58
1/1/22 4:20,33,37,28,59
1/1/22 4:30,33,38,28,60
1/1/22 4:40,33,39,28,61
1/1/22 4:50,33,39,28,62
1/1/22 5:00,33,40,28,62
1/1/22 5:10,33,40,27,63
1/1/22 5:20,32,40,27,63
1/1/22 5:30,32,41,27,64
1/1/22 5:40,32,41,27,64
1/1/22 5:50,32,41,27,65
1/1/22 6:00,32,42,27,66
1/1/22 6:10,32,42,27,67
1/1/22 6:20,32,42,26,68
1/1/22 6:30,32,43,26,69
1/1/22 6:40,32,43,26,70
1/1/22 6:50,32,44,26,71
1/1/22 7:00,32,44,26,71
1/1/22 7:10,32,45,26,72
1/1/22 7:20,32,45,26,72
1/1/22 7:30,32,45,26,72
1/1/22 7:40,32,46,26,73
1/1/22 7:50,32,46,26,73
1/1/22 8:00,31,46,26,73
1/1/22 8:10,31,46,25,73
1/1/22 8:20,31,46,25,73
1/1/22 8:30,31,46,25,74
1/1/22 8:40,31,47,25,74
1/1/22 8:50,31,47,25,74
1/1/22 9:00,31,47,25,74
1/1/22 9:10,31,47,25,74
1/1/22 9:20,31,47,25,74
1/1/22 9:30,31,47,25,74
1/1/22 9:40,31,47,25,74
1/1/22 9:50,31,47,25,74
1/1/22 10:00,31,47,25,75
1/1/22 10:10,31,47,25,75
1/1/22 10:20,31,48,25,75
1/1/22 10:30,31,48,25,75
1/1/22 10:40,31,48,25,75
1/1/22 10:50,31,48,25,75
1/1/22 11:00,31,48,25,75
1/1/22 11:10,31,48,25,76
1/1/22 11:20,31,48,25,76
1/1/22 11:30,31,48,25,76
1/1/22 11:40,31,48,25,76
1/1/22 11:50,31,48,24,76
1/1/22 12:00,31,49,25,76
1/1/22 12:10,30,49,24,76
1/1/22 12:20,30,49,24,76
1/1/22 12:30,30,49,24,76
1/1/22 12:40,30,49,24,76
1/1/22 12:50,30,49,24,76
1/1/22 13:00,30,49,24,76
1/1/22 13:10,30,49,24,75
1/1/22 13:20,30,49,24,75
1/1/22 13:30,30,49,24,75
1/1/22 13:40,30,49,24,75
1/1/22 13:50,30,49,24,75
1/1/22 14:00,30,49,24,76
1/1/22 14:10,30,50,24,76
1/1/22 14:20,29,51,24,76
1/1/22 14:30,29,51,25,75
1/1/22 14:40,29,52,25,75
1/1/22 14:50,29,52,25,75
1/1/22 15:00,29,53,25,75
1/1/22 15:10,29,54,26,74
1/1/22 15:20,29,53,26,73
1/1/22 15:30,29,53,26,71
1/1/22 15:40,29,53,27,70
1/1/22 15:50,29,53,27,70
1/1/22 16:00,29,53,27,69
1/1/22 16:10,29,53,28,68
1/1/22 16:20,30,53,28,68
1/1/22 16:30,30,52,28,67
1/1/22 16:40,30,51,29,65
1/1/22 16:50,30,50,29,64
1/1/22 17:00,31,49,29,61
1/1/22 17:10,31,48,30,60
1/1/22 17:20,31,47,30,58
1/1/22 17:30,31,46,30,56
1/1/22 17:40,32,45,31,54
1/1/22 17:50,32,44,31,53
1/1/22 18:00,32,43,31,53
1/1/22 18:10,32,43,32,53
1/1/22 18:20,33,43,32,52
1/1/22 18:30,33,42,32,51
1/1/22 18:40,33,41,32,50
1/1/22 18:50,33,40,32,48
1/1/22 19:00,34,39,33,47
1/1/22 19:10,34,39,33,47
1/1/22 19:20,34,38,33,46
1/1/22 19:30,34,38,33,46
1/1/22 19:40,34,38,34,46
1/1/22 19:50,34,38,34,46
1/1/22 20:00,34,37,34,45
1/1/22 20:10,35,37,34,44
1/1/22 20:20,35,37,34,45
1/1/22 20:30,35,36,34,44
1/1/22 20:40,35,36,35,44
1/1/22 20:50,35,36,35,43
1/1/22 21:00,35,36,35,44
1/1/22 21:10,35,35,35,42
1/1/22 21:20,36,36,35,44
1/1/22 21:30,36,35,35,44
1/1/22 21:40,36,35,35,43
1/1/22 21:50,36,35,35,43
1/1/22 22:00,36,35,35,43
1/1/22 22:10,36,35,35,43
1/1/22 22:20,36,34,35,42
1/1/22 22:30,36,35,35,44
1/1/22 22:40,36,35,34,44
1/1/22 22:50,36,35,35,43
1/1/22 23:00,36,34,35,42
1/1/22 23:10,36,34,35,43
1/1/22 23:20,36,34,34,43
1/1/22 23:30,36,34,35,43
1/1/22 23:40,36,34,34,43
1/1/22 23:50,36,35,34,43
2/1/22 0:00,35,35,34,45
2/1/22 0:10,35,35,34,45
2/1/22 0:20,35,36,34,46
2/1/22 0:30,35,36,33,47
2/1/22 0:40,35,37,33,47
2/1/22 0:50,34,37,32,48
2/1/22 1:00,34,37,32,49
2/1/22 1:10,34,38,32,49
2/1/22 1:20,34,38,32,49
2/1/22 1:30,33,38,31,50
2/1/22 1:40,33,39,31,51
2/1/22 1:50,33,40,31,52
2/1/22 2:00,33,40,31,51
2/1/22 2:10,32,39,30,50
2/1/22 2:20,32,39,30,50
2/1/22 2:30,33,38,30,50
2/1/22 2:40,33,38,30,50
2/1/22 2:50,33,38,30,50
2/1/22 3:00,33,38,30,51
2/1/22 3:10,32,38,29,51
2/1/22 3:20,32,38,29,53
2/1/22 3:30,32,38,29,54
2/1/22 3:40,32,39,29,55
2/1/22 3:50,32,39,29,55
2/1/22 4:00,32,39,29,56
2/1/22 4:10,32,39,28,56
2/1/22 4:20,32,39,28,56
2/1/22 4:30,32,40,28,57
2/1/22 4:40,32,40,28,58
2/1/22 4:50,32,40,28,59
2/1/22 5:00,32,41,28,60
2/1/22 5:10,32,41,28,61
2/1/22 5:20,32,42,27,62
2/1/22 5:30,32,42,27,62
2/1/22 5:40,32,42,27,62
2/1/22 5:50,32,42,27,62
2/1/22 6:00,31,42,27,62
2/1/22 6:10,31,42,27,62
2/1/22 6:20,31,42,27,62
2/1/22 6:30,31,42,26,63
2/1/22 6:40,31,43,26,63
2/1/22 6:50,31,43,26,64
2/1/22 7:00,31,43,26,65
2/1/22 7:10,31,43,26,65
2/1/22 7:20,31,44,26,66
2/1/22 7:30,31,44,26,66
2/1/22 7:40,31,44,26,66
2/1/22 7:50,31,44,26,67
2/1/22 8:00,31,45,26,67
2/1/22 8:10,31,45,25,68
2/1/22 8:20,31,45,25,69
2/1/22 8:30,30,46,25,70
2/1/22 8:40,30,46,25,70
2/1/22 8:50,30,47,25,71
2/1/22 9:00,30,47,25,72
2/1/22 9:10,30,47,25,72
2/1/22 9:20,30,48,25,73
2/1/22 9:30,30,48,25,73
2/1/22 9:40,30,48,25,74
2/1/22 9:50,30,49,25,74
2/1/22 10:00,30,49,25,75
2/1/22 10:10,30,49,25,75
2/1/22 10:20,30,49,25,75
2/1/22 10:30,30,49,24,75
2/1/22 10:40,30,48,24,75
2/1/22 10:50,30,48,24,75
2/1/22 11:00,30,48,24,75
2/1/22 11:10,30,48,24,75
2/1/22 11:20,30,48,24,75
2/1/22 11:30,30,48,24,76
2/1/22 11:40,30,48,24,76
2/1/22 11:50,30,48,24,76
2/1/22 12:00,30,48,24,76
2/1/22 12:10,30,49,24,77
2/1/22 12:20,30,49,24,77
2/1/22 12:30,30,49,24,77
2/1/22 12:40,30,49,24,77
2/1/22 12:50,30,49,24,76
2/1/22 13:00,30,49,24,76
2/1/22 13:10,30,49,24,77
2/1/22 13:20,30,49,24,77
2/1/22 13:30,30,49,24,77
2/1/22 13:40,30,49,24,77
2/1/22 13:50,30,49,24,77
2/1/22 14:00,30,50,24,78
2/1/22 14:10,30,50,24,78
2/1/22 14:20,30,52,24,78
2/1/22 14:30,30,52,24,77
2/1/22 14:40,30,51,25,77
2/1/22 14:50,30,51,25,75
2/1/22 15:00,31,50,25,74
2/1/22 15:10,31,50,26,72
2/1/22 15:20,31,49,26,71
2/1/22 15:30,31,49,26,71
2/1/22 15:40,30,50,26,70
2/1/22 15:50,29,51,27,68
2/1/22 16:00,29,51,27,67
2/1/22 16:10,29,51,28,66
2/1/22 16:20,29,51,28,65
